x:  computed_derivativen = 1000runtime: 8.3e-05
0.977023   0.0229641
0.978022   0.0219657
0.979021   0.0209673
0.98002   0.0199689
0.981019   0.0189705
0.982018   0.0179721
0.983017   0.0169737
0.984016   0.0159753
0.985015   0.0149769
0.986014   0.0139784
0.987013   0.01298
0.988012   0.0119816
0.989011   0.0109831
0.99001   0.0099847
0.991009   0.00898626
0.992008   0.0079878
0.993007   0.00698934
0.994006   0.00599088
0.995005   0.00499241
0.996004   0.00399394
0.997003   0.00299546
0.998002   0.00199698
0.999001   0.000998492
1   0
